epochs,alpha,beta,epsilon,per_random_forest_n_estimators,per_random_forest_max_depth,mmd_kernel,random_state,baseline_random_state,run_id,meta_forests_accuracy,rf_baseline_accuracy,improvement,runtime
30,-0.5,2.0,1e-07,50,3,linear,42,42,181,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.03678107261658
30,-0.5,2.0,1e-07,50,3,poly,42,42,182,0.6150392817059483,0.08641975308641975,0.5286195286195285,47.025599002838135
30,-0.5,2.0,1e-07,50,5,rbf,42,42,183,0.6150392817059483,0.6150392817059483,0.0,65.53689098358154
30,-0.5,2.0,1e-07,50,5,linear,42,42,184,0.6150392817059483,0.6150392817059483,0.0,59.85784459114075
30,-0.5,2.0,1e-07,50,5,poly,42,42,185,0.6150392817059483,0.6150392817059483,0.0,60.1114342212677
30,-0.5,2.0,1e-07,50,7,rbf,42,42,186,0.6150392817059483,0.6150392817059483,0.0,75.41285705566406
30,-0.5,2.0,1e-07,50,7,linear,42,42,187,0.6150392817059483,0.6150392817059483,0.0,70.85777187347412
30,-0.5,2.0,1e-07,50,7,poly,42,42,188,0.6150392817059483,0.6150392817059483,0.0,69.8404757976532
30,-0.5,2.0,1e-07,150,3,rbf,42,42,189,0.6150392817059483,0.08641975308641975,0.5286195286195285,137.08496403694153
30,-0.5,2.0,1e-07,150,3,linear,42,42,190,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.4855818748474
30,-0.5,2.0,1e-07,150,3,poly,42,42,191,0.6150392817059483,0.08641975308641975,0.5286195286195285,130.90063953399658
30,-0.5,2.0,1e-07,150,5,rbf,42,42,192,0.6150392817059483,0.6150392817059483,0.0,177.05120420455933
30,-0.5,2.0,1e-07,150,5,linear,42,42,193,0.6150392817059483,0.6150392817059483,0.0,171.00725102424622
30,-0.5,2.0,1e-07,150,5,poly,42,42,194,0.6150392817059483,0.6150392817059483,0.0,170.87164044380188
30,-0.5,2.0,1e-07,150,7,rbf,42,42,195,0.6150392817059483,0.6150392817059483,0.0,207.31726908683777
30,-0.5,2.0,1e-07,150,7,linear,42,42,196,0.6150392817059483,0.6150392817059483,0.0,202.7225399017334
30,-0.5,2.0,1e-07,150,7,poly,42,42,197,0.6150392817059483,0.6150392817059483,0.0,202.11942172050476
30,-0.5,2.0,1e-10,50,3,rbf,42,42,198,0.6150392817059483,0.08641975308641975,0.5286195286195285,52.23170876502991
30,-0.5,2.0,1e-10,50,3,linear,42,42,199,0.6150392817059483,0.08641975308641975,0.5286195286195285,46.444156885147095
30,-0.5,2.0,1e-10,50,3,poly,42,42,200,0.6150392817059483,0.08641975308641975,0.5286195286195285,47.0247757434845
30,-0.5,2.0,1e-10,50,5,rbf,42,42,201,0.6150392817059483,0.6150392817059483,0.0,65.40668368339539
30,-0.5,2.0,1e-10,50,5,linear,42,42,202,0.6150392817059483,0.6150392817059483,0.0,59.91243076324463
30,-0.5,2.0,1e-10,50,5,poly,42,42,203,0.6150392817059483,0.6150392817059483,0.0,60.18858313560486
30,-0.5,2.0,1e-10,50,7,rbf,42,42,204,0.6150392817059483,0.6150392817059483,0.0,75.02620100975037
30,-0.5,2.0,1e-10,50,7,linear,42,42,205,0.6150392817059483,0.6150392817059483,0.0,69.45557951927185
30,-0.5,2.0,1e-10,50,7,poly,42,42,206,0.6150392817059483,0.6150392817059483,0.0,69.895681142807
30,-0.5,2.0,1e-10,150,3,rbf,42,42,207,0.6150392817059483,0.08641975308641975,0.5286195286195285,136.59786128997803
30,-0.5,2.0,1e-10,150,3,linear,42,42,208,0.6150392817059483,0.08641975308641975,0.5286195286195285,131.2994966506958
30,-0.5,2.0,1e-10,150,3,poly,42,42,209,0.6150392817059483,0.08641975308641975,0.5286195286195285,131.51227807998657
30,-0.5,2.0,1e-10,150,5,rbf,42,42,210,0.6150392817059483,0.6150392817059483,0.0,176.33044171333313
30,-0.5,2.0,1e-10,150,5,linear,42,42,211,0.6150392817059483,0.6150392817059483,0.0,172.54563117027283
30,-0.5,2.0,1e-10,150,5,poly,42,42,212,0.6150392817059483,0.6150392817059483,0.0,172.35680484771729
30,-0.5,2.0,1e-10,150,7,rbf,42,42,213,0.6150392817059483,0.6150392817059483,0.0,206.97116947174072
30,-0.5,2.0,1e-10,150,7,linear,42,42,214,0.6150392817059483,0.6150392817059483,0.0,202.6195502281189
30,-0.5,2.0,1e-10,150,7,poly,42,42,215,0.6150392817059483,0.6150392817059483,0.0,200.52737712860107
30,-2.0,0.5,1e-07,50,3,rbf,42,42,216,0.6150392817059483,0.08641975308641975,0.5286195286195285,51.89124655723572
30,-2.0,0.5,1e-07,50,3,linear,42,42,217,0.6150392817059483,0.08641975308641975,0.5286195286195285,45.850170850753784
30,-2.0,0.5,1e-07,50,3,poly,42,42,218,0.6150392817059483,0.08641975308641975,0.5286195286195285,45.951366662979126
30,-2.0,0.5,1e-07,50,5,rbf,42,42,219,0.6150392817059483,0.6150392817059483,0.0,65.07055163383484
30,-2.0,0.5,1e-07,50,5,linear,42,42,220,0.6150392817059483,0.6150392817059483,0.0,59.819727182388306
30,-2.0,0.5,1e-07,50,5,poly,42,42,221,0.6150392817059483,0.6150392817059483,0.0,59.96413445472717
30,-2.0,0.5,1e-07,50,7,rbf,42,42,222,0.6150392817059483,0.6150392817059483,0.0,75.7241702079773
